stock,price down,stock price at N,time N,stock price at M,time M,closing price now
ACB,-6.2147324428123945,4.039999961853027,"03/23/2022, 09:36:00",3.694999933242798,"03/23/2022, 10:45:00",3.7667999267578125
AFI,-2.8616385879721524,1.590000033378601,"03/23/2022, 09:46:00",1.5199999809265137,"03/23/2022, 09:34:00",1.5499999523162842
AI,-2.5297934595735905,23.610000610351562,"03/23/2022, 11:22:00",22.40999984741211,"03/23/2022, 10:05:00",23.538299560546875
ACH,-2.32324380561294,15.595000267028809,"03/23/2022, 11:21:00",15.010000228881836,"03/23/2022, 09:52:00",15.529999732971191
AGS,-2.1821091981567964,7.409999847412109,"03/23/2022, 09:36:00",7.190000057220459,"03/23/2022, 10:50:00",7.210000038146973
AEO,-1.9899152081868718,18.190000534057617,"03/23/2022, 09:31:00",17.625,"03/23/2022, 10:46:00",17.75
AA,-1.7270179278223934,94.4000015258789,"03/23/2022, 09:48:00",91.09989929199219,"03/23/2022, 10:10:00",93.6500015258789
AER,-1.654395698150017,55.849998474121094,"03/23/2022, 09:33:00",54.5,"03/23/2022, 10:56:00",55.02000045776367
AGCO,-1.5889068384219847,141.94949340820312,"03/23/2022, 11:26:00",137.80999755859375,"03/23/2022, 09:39:00",141.7899932861328
AGI,-1.5140537231188975,8.399999618530273,"03/23/2022, 09:35:00",8.219900131225586,"03/23/2022, 10:43:00",8.244999885559082
AG,-1.4877853374147554,14.050000190734863,"03/23/2022, 09:44:00",13.739999771118164,"03/23/2022, 10:17:00",13.770099639892578
AHH,-1.4434051478610246,14.670000076293945,"03/23/2022, 09:30:00",14.369999885559082,"03/23/2022, 11:12:00",14.390000343322754
AHT,-1.4117338937980157,9.133199691772461,"03/23/2022, 11:05:00",8.899999618530273,"03/23/2022, 10:00:00",9.109999656677246
ABR,-1.3995698695007583,17.34000015258789,"03/23/2022, 09:30:00",17.010000228881836,"03/23/2022, 10:25:00",17.100000381469727
ADS,-1.337746440577018,60.79999923706055,"03/23/2022, 09:30:00",59.38999938964844,"03/23/2022, 11:20:00",59.630001068115234
ADM,-1.320529250462213,89.52999877929688,"03/23/2022, 09:40:00",87.5199966430664,"03/23/2022, 11:24:00",87.68920135498047
ADT,-1.3153360775898137,7.550000190734863,"03/23/2022, 09:32:00",7.3942999839782715,"03/23/2022, 10:02:00",7.5
AEM,-1.3006590162240106,62.119998931884766,"03/23/2022, 09:30:00",60.91999816894531,"03/23/2022, 10:25:00",61.25
AAP,-1.2763698867832447,214.02000427246094,"03/23/2022, 11:26:57",207.5800018310547,"03/23/2022, 09:38:00",214.02000427246094
AGRO,-1.156536566537064,11.9399995803833,"03/23/2022, 09:44:00",11.680000305175781,"03/23/2022, 10:02:00",11.90999984741211
ABEV,-1.1350753932215516,2.934999942779541,"03/23/2022, 11:14:00",2.859999895095825,"03/23/2022, 09:49:00",2.9200000762939453
ADC,-1.114068639110174,64.95999908447266,"03/23/2022, 09:30:00",63.9900016784668,"03/23/2022, 09:44:00",64.2936019897461
AAT,-1.1134653968311679,36.56999969482422,"03/23/2022, 09:34:00",36.04999923706055,"03/23/2022, 11:11:00",36.150001525878906
AFGC,-1.0983566308391062,25.520000457763672,"03/23/2022, 09:30:00",25.06999969482422,"03/23/2022, 11:01:29",25.06999969482422
A,-1.0813351003601188,137.5800018310547,"03/23/2022, 09:30:00",135.35000610351562,"03/23/2022, 09:47:00",136.25
ADNT,-1.0716156194296562,38.400001525878906,"03/23/2022, 11:26:31",37.119998931884766,"03/23/2022, 09:30:00",38.400001525878906
ABT,-1.0178785330838838,120.63999938964844,"03/23/2022, 09:30:00",118.69000244140625,"03/23/2022, 10:58:00",119.02999877929688
AB,-0.9841380016358608,46.39609909057617,"03/23/2022, 09:31:00",45.46269989013672,"03/23/2022, 09:59:00",46.04999923706055
ABG,-0.9703769155672851,185.33999633789062,"03/23/2022, 09:38:00",182.02000427246094,"03/23/2022, 09:58:00",184.25
AAN,-0.9459644736353447,22.25,"03/23/2022, 10:18:00",21.899999618530273,"03/23/2022, 09:59:00",21.969999313354492
ACA,-0.9289319909343836,57.8650016784668,"03/23/2022, 11:22:00",56.709999084472656,"03/23/2022, 09:48:00",57.650001525878906
ACCO,-0.9236384374334742,8.319999694824219,"03/23/2022, 09:30:00",8.21500015258789,"03/23/2022, 11:12:00",8.234999656677246
ACM,-0.9030754737219909,78.30999755859375,"03/23/2022, 09:40:00",77.2699966430664,"03/23/2022, 10:31:00",77.6500015258789
ACC,-0.857016122517858,55.08000183105469,"03/23/2022, 09:30:00",54.47999954223633,"03/23/2022, 09:48:00",54.6349983215332
AC,-0.7899336336608899,40.599998474121094,"03/23/2022, 10:37:00",40.095001220703125,"03/23/2022, 11:24:00",40.29999923706055
AFG,-0.7341373903012118,146.67999267578125,"03/23/2022, 10:38:00",144.02999877929688,"03/23/2022, 09:35:00",146.2550048828125
AGM,-0.7222301581288841,118.7300033569336,"03/23/2022, 09:30:00",117.54499816894531,"03/23/2022, 11:15:00",117.54499816894531
AES,-0.7065883047584809,23.690000534057617,"03/23/2022, 09:35:00",23.387100219726562,"03/23/2022, 10:23:00",23.65999984741211
ACN,-0.7043426556934737,326.94000244140625,"03/23/2022, 10:20:00",322.3299865722656,"03/23/2022, 09:36:00",325.5
ABM,-0.7032330235201092,45.15999984741211,"03/23/2022, 09:30:00",44.66999816894531,"03/23/2022, 09:35:00",45.060001373291016
AEP,-0.7026093366956926,96.19999694824219,"03/23/2022, 09:52:00",95.05000305175781,"03/23/2022, 11:22:00",95.10199737548828
ABBV,-0.6717382531815044,161.1649932861328,"03/23/2022, 09:49:00",159.63999938964844,"03/23/2022, 10:58:00",159.8800048828125
ACEL,-0.6273639699129958,13.079999923706055,"03/23/2022, 11:05:00",12.920000076293945,"03/23/2022, 09:30:00",13.0600004196167
AGR,-0.6259824399594911,45.0,"03/23/2022, 09:30:00",44.58250045776367,"03/23/2022, 10:42:00",44.59000015258789
ABC,-0.5569279175344368,152.55999755859375,"03/23/2022, 09:30:00",151.1999969482422,"03/23/2022, 10:58:00",151.6699981689453
AFGB,-0.5375451412139152,25.299999237060547,"03/23/2022, 11:10:06",25.030000686645508,"03/23/2022, 10:02:00",25.299999237060547
AEG,-0.5029246984442796,5.244999885559082,"03/23/2022, 10:24:00",5.184999942779541,"03/23/2022, 09:49:00",5.206600189208984
AGO,-0.4478289030488334,62.98500061035156,"03/23/2022, 10:21:00",62.209999084472656,"03/23/2022, 09:30:00",62.73249816894531
ACV,-0.44352144641877184,25.31999969482422,"03/23/2022, 09:44:00",25.06999969482422,"03/23/2022, 10:13:00",25.209999084472656
AFB,-0.4199540865402839,12.760000228881836,"03/23/2022, 10:59:00",12.674699783325195,"03/23/2022, 09:31:00",12.760000228881836
AGX,-0.4033123968419555,40.130001068115234,"03/23/2022, 10:39:00",39.72999954223633,"03/23/2022, 11:27:17",39.72999954223633
AFL,-0.371852832440236,64.45999908447266,"03/23/2022, 10:06:00",63.9900016784668,"03/23/2022, 11:23:00",64.05999755859375
ABB,-0.36458310224901463,35.060001373291016,"03/23/2022, 11:26:37",34.71500015258789,"03/23/2022, 09:45:00",35.060001373291016
AEL,-0.36286300550483896,41.00749969482422,"03/23/2022, 10:14:00",40.65999984741211,"03/23/2022, 09:30:00",41.0
AFT,-0.3507690966004132,14.729999542236328,"03/23/2022, 10:15:00",14.600000381469727,"03/23/2022, 09:30:00",14.652099609375
AGD,-0.2951029816978395,11.029999732971191,"03/23/2022, 10:31:00",10.989999771118164,"03/23/2022, 10:15:00",11.029999732971191
ACRE,-0.2857548932283422,15.279999732971191,"03/23/2022, 09:30:00",15.199999809265137,"03/23/2022, 09:48:00",15.270000457763672
AEE,-0.24683864767050234,88.91999816894531,"03/23/2022, 10:00:00",88.3499984741211,"03/23/2022, 09:32:00",88.77999877929688
ADX,-0.21993338633681897,18.30900001525879,"03/23/2022, 10:25:00",18.235000610351562,"03/23/2022, 10:47:00",18.290000915527344
AEFC,-0.14519960633376527,23.540000915527344,"03/23/2022, 09:58:00",23.5,"03/23/2022, 10:36:44",23.5
ACP,-0.1242476698182208,9.75,"03/23/2022, 10:45:00",9.6899995803833,"03/23/2022, 09:35:00",9.739999771118164
